               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10868,            0.015837,                   0,           0.0013605,             0.18182,          0.00088891,          0.00018769,            0.096194,            0.013856,                   0,              0.0022,              0.0022,              0.0802
                   1,            0.098234,            0.016232,                   0,           0.0013602,             0.18182,          0.00085348,          0.00018618,            0.095253,            0.013282,                   0,           0.0044554,           0.0044554,            0.059455
                   2,            0.096142,            0.016687,                   0,           0.0013605,             0.18182,          0.00082986,          0.00017266,            0.094109,            0.013052,                   0,           0.0066654,           0.0066654,            0.038665
                   3,            0.094137,            0.016462,                   0,           0.0013603,             0.18182,          0.00074316,          0.00015627,            0.093504,            0.012827,                   0,           0.0088297,           0.0088297,             0.01783
                   4,            0.091372,            0.016183,                   0,           0.0013611,             0.18182,           0.0010457,          0.00025583,            0.092576,            0.012734,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.086725,            0.017171,                   0,             0.11989,             0.27273,            0.072977,            0.011377,            0.079529,             0.01407,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.081224,             0.01707,                   0,             0.16515,            0.045455,            0.015804,           0.0018134,             0.09209,            0.013933,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.07579,            0.017912,                   0,              0.1273,             0.27273,            0.079602,            0.014048,            0.081263,            0.014168,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.072641,            0.016941,                   0,             0.10257,             0.31818,            0.042091,           0.0056519,            0.081973,            0.014449,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.071423,            0.016882,                   0,             0.18686,             0.13636,            0.061584,             0.01316,            0.081113,            0.013498,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.068433,            0.015706,                   0,              0.4954,             0.13636,             0.14114,            0.062302,            0.072308,            0.014848,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.066345,            0.015189,                   0,             0.41492,             0.35497,             0.27765,            0.066066,            0.068207,            0.013921,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.064464,            0.015274,                   0,             0.34987,             0.31802,             0.20637,            0.031895,            0.064073,            0.014649,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.06104,            0.014549,                   0,              0.2306,             0.54545,             0.27012,             0.10868,            0.066536,            0.015263,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06038,             0.01445,                   0,             0.56121,             0.40909,             0.29515,             0.10061,            0.062984,            0.012346,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.058252,            0.014003,                   0,             0.81608,             0.40909,             0.41977,             0.15756,            0.062496,            0.013288,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.055901,            0.014165,                   0,             0.56985,             0.36364,             0.37367,             0.12717,            0.057937,            0.013135,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.054401,            0.013964,                   0,             0.45761,                 0.5,              0.4324,              0.1652,            0.057331,            0.014265,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.054083,            0.013153,                   0,               0.692,             0.40909,             0.46267,             0.20048,            0.056994,            0.011693,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.051988,            0.012649,                   0,             0.90822,             0.45455,             0.48475,             0.20063,            0.061024,            0.010913,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.051442,             0.01252,                   0,             0.81745,             0.40909,             0.45384,              0.1523,            0.061629,            0.011162,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050321,             0.01265,                   0,             0.66656,             0.36347,             0.45647,             0.17545,            0.058716,           0.0093582,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.049995,            0.011864,                   0,             0.84596,             0.49931,             0.52999,             0.23824,            0.053314,            0.009649,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.048898,            0.011782,                   0,             0.79714,             0.54545,             0.57536,             0.24767,            0.055943,           0.0089593,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.048094,            0.011879,                   0,             0.63108,             0.54436,              0.4845,             0.22091,            0.055042,             0.01075,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.047378,            0.011421,                   0,             0.63094,             0.54545,             0.49394,             0.24518,            0.053802,           0.0090657,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.046523,            0.011214,                   0,             0.71418,             0.45433,             0.47382,             0.20866,            0.054383,            0.010166,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.046657,            0.011052,                   0,             0.74116,             0.59091,             0.55596,             0.27891,            0.051611,            0.011024,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.04577,            0.011222,                   0,                   1,             0.44744,             0.56309,             0.29996,            0.051481,           0.0083107,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.044864,            0.010993,                   0,             0.92217,             0.54545,             0.62136,             0.27051,            0.051777,           0.0082557,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.044268,            0.010525,                   0,             0.78346,                 0.5,             0.55236,             0.21371,            0.054372,           0.0082044,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.042951,            0.010904,                   0,             0.72214,             0.59091,             0.52996,             0.25562,            0.052339,           0.0084833,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041663,            0.010384,                   0,             0.79949,             0.54545,             0.60066,             0.26496,            0.052884,           0.0080504,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042125,            0.010373,                   0,             0.73652,             0.63636,             0.57875,             0.30299,            0.050368,            0.007985,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.042788,            0.010153,                   0,             0.85655,             0.54545,             0.60572,              0.2168,            0.055483,           0.0079591,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.042318,            0.010753,                   0,             0.84613,              0.4999,             0.51659,             0.26895,            0.050931,           0.0089575,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.039497,            0.010124,                   0,             0.79895,             0.54545,             0.56662,             0.29221,            0.048024,           0.0079579,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.039214,           0.0096554,                   0,              0.9319,             0.63636,             0.67843,             0.31459,            0.048619,           0.0077434,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.037535,           0.0096182,                   0,             0.86659,             0.59055,             0.70146,             0.31959,            0.048991,           0.0074317,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.038335,           0.0093548,                   0,             0.63628,             0.63616,             0.61538,             0.28166,            0.052799,           0.0077507,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037132,           0.0089989,                   0,             0.84541,                 0.5,             0.58791,             0.31695,             0.05213,           0.0075208,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037899,           0.0088673,                   0,                   1,              0.4992,             0.60851,             0.29553,            0.054456,            0.008234,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.037267,           0.0095326,                   0,             0.92813,             0.59091,              0.6538,             0.29214,            0.050561,           0.0075891,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.037314,           0.0090493,                   0,             0.92828,             0.59091,              0.6838,             0.31201,            0.052173,           0.0069473,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.036432,           0.0087958,                   0,             0.92847,             0.59091,             0.64786,             0.36517,            0.046728,            0.007825,                   0,            0.005743,            0.005743,            0.005743
